gene,pca_1,pca_2,importance,category
0610009L18Rik,-1.059771,-0.20544428,5.840014457096408e-08,Other Genes
0610030E20Rik,-0.39355937,-1.8459387,1.5293294729227857e-05,Other Genes
1110004F10Rik,0.74810153,-0.79397804,0.0005088470049354195,Other Genes
1110038F14Rik,-0.62974614,-0.50777316,6.25278918355159e-05,Other Genes
1110059E24Rik,-0.45149806,0.35223138,5.9771180898125744e-05,Other Genes
1110059G10Rik,-0.64234775,-1.8051565,6.595973508273222e-05,Other Genes
1110065P20Rik,-0.55683863,-0.4423355,1.0165835127081718e-05,Other Genes
1190005I06Rik,-1.0522213,-0.11731257,7.595140063903025e-07,Other Genes
1500009L16Rik,0.60671407,0.44243497,2.1839580768623818e-06,Other Genes
1500011B03Rik,0.059349105,1.7699218,3.067978831902114e-05,Other Genes
1600012H06Rik,0.62174666,1.1483812,7.084283291367909e-05,Other Genes
1600014C10Rik,-0.08946429,1.0986718,2.0836534632139265e-05,Other Genes
1600029O15Rik,0.32607552,0.06971847,6.41664553386306e-07,Other Genes
1700001K19Rik,-0.575629,0.21855207,8.66644951215693e-07,Other Genes
1700001O22Rik,-1.9979873,-0.26543674,1.2623741783291256e-07,Other Genes
1700003E16Rik,-0.75453955,-1.6821618,3.1565663883850866e-07,Other Genes
1700003F12Rik,2.6546767,-1.0074184,2.1249158372229606e-07,Other Genes
1700008O03Rik,0.8770442,-0.5633787,9.012666956599448e-07,Other Genes
1700008P02Rik,0.42387295,0.1552695,1.4951857483366576e-08,Other Genes
1700010B08Rik,0.42149293,-0.8529809,7.649248015832248e-10,Other Genes
1700010I14Rik,0.86338353,1.4885964,5.79823152577805e-07,Other Genes
1700012B09Rik,-0.829102,-0.66010493,1.281067206371586e-06,Other Genes
1700016H13Rik,-0.5765041,-0.60782707,3.8120400839217555e-08,Other Genes
1700017B05Rik,-0.119142696,0.052284744,1.4101249407134418e-05,Other Genes
1700017N19Rik,-1.5064721,-0.8821287,4.7888161015063204e-08,Other Genes
1700019A02Rik,-0.98048025,0.0018788553,6.512474007746134e-09,Other Genes
1700019D03Rik,-0.42832428,2.189138,1.0132428995181038e-06,Other Genes
1700020L24Rik,-0.35703272,-0.80448264,1.741457389143087e-06,Other Genes
1700022A21Rik,0.46091944,-0.2850557,1.671930801526137e-08,Other Genes
1700024B05Rik,-0.24951692,0.13595402,1.1787585996017463e-07,Other Genes
1700025C18Rik,0.09307857,0.66874266,5.0143538380985944e-08,Other Genes
1700025G04Rik,-1.4394593,-2.213683,7.132418225195273e-05,Other Genes
1700028J19Rik,0.5872116,-1.1434298,5.079645480136979e-06,Other Genes
1700028K03Rik,0.26993734,-0.2607543,4.908676509677184e-07,Other Genes
1700029F12Rik,1.6612763,-1.697385,5.626972137601509e-08,Other Genes
1700030J22Rik,0.24355374,1.9113342,1.0484505019247276e-06,Other Genes
1700030K09Rik,-0.13468653,-1.3701845,2.342196679687306e-05,Other Genes
1700034J05Rik,0.3884495,-0.27416712,8.513808724118513e-07,Other Genes
1700037C18Rik,3.1004982,-2.0185475,2.601590311011394e-06,Other Genes
1700048O20Rik,0.4435235,0.22621736,9.020940104187022e-07,Other Genes
1700049E17Rik1,-0.14778526,0.6569854,3.904498130102198e-09,Other Genes
1700049E17Rik2,-1.2858683,-1.225847,1.1644704536467592e-08,Other Genes
1700056E22Rik,0.39946854,-0.17190301,3.1065691664593964e-07,Other Genes
1700066M21Rik,-0.49432695,0.85706663,1.0040512522368792e-05,Other Genes
1700067K01Rik,-0.16215493,1.002051,1.1271934375708278e-06,Other Genes
1700073E17Rik,0.23394845,0.31939673,5.41637310876459e-09,Other Genes
1700084J12Rik,-0.92099106,1.1625348,1.5871478664805153e-07,Other Genes
1700088E04Rik,0.0102130305,-0.56832653,6.415769172753005e-06,Other Genes
1700091H14Rik,1.6791184,-1.8377407,6.992521586933123e-09,Other Genes
1700093K21Rik,0.06883558,-0.39925224,2.2480349195090075e-07,Other Genes
1700102P08Rik,-1.2751217,-1.8258672,7.650327155908034e-07,Other Genes
1700109H08Rik,-0.48520344,0.3505022,1.7074648010391538e-05,Other Genes
1700123K08Rik,-0.10229063,0.99085575,8.886341681001493e-09,Other Genes
1700123O20Rik,-0.8200679,-1.3677678,0.0001525139105407069,Other Genes
1700128F08Rik,1.8862555,1.3810362,1.759511703014144e-06,Other Genes
1810009A15Rik,0.95423806,-0.3456831,0.00020510295018544362,Other Genes
