gene,tsne_1,tsne_2,importance,category
0610009L18Rik,-22.540718,20.976418,5.840014457096408e-08,Other Genes
0610030E20Rik,-43.495724,-6.245836,1.5293294729227857e-05,Other Genes
1110004F10Rik,-9.731732,-0.3231392,0.0005088470049354195,Other Genes
1110038F14Rik,-11.284153,-31.858574,6.25278918355159e-05,Other Genes
1110059E24Rik,-4.2117944,-13.121108,5.9771180898125744e-05,Other Genes
1110059G10Rik,-14.839619,25.627735,6.595973508273222e-05,Other Genes
1110065P20Rik,18.86723,-23.378302,1.0165835127081718e-05,Other Genes
1190005I06Rik,-1.544858,-10.064002,7.595140063903025e-07,Other Genes
1500009L16Rik,-7.819502,-12.986032,2.1839580768623818e-06,Other Genes
1500011B03Rik,-28.460632,-16.94725,3.067978831902114e-05,Other Genes
1600012H06Rik,3.652923,-12.35398,7.084283291367909e-05,Other Genes
1600014C10Rik,3.0849183,-28.718864,2.0836534632139265e-05,Other Genes
1600029O15Rik,-37.63844,-16.326582,6.41664553386306e-07,Other Genes
1700001K19Rik,-25.073612,28.450699,8.66644951215693e-07,Other Genes
1700001O22Rik,7.7704425,22.166584,1.2623741783291256e-07,Other Genes
1700003E16Rik,12.334253,-22.208376,3.1565663883850866e-07,Other Genes
1700003F12Rik,0.44621143,16.70587,2.1249158372229606e-07,Other Genes
1700008O03Rik,4.0218954,-2.7275212,9.012666956599448e-07,Other Genes
1700008P02Rik,15.245495,-25.85865,1.4951857483366576e-08,Other Genes
1700010B08Rik,-10.510901,28.264872,7.649248015832248e-10,Other Genes
1700010I14Rik,1.8215088,-29.0864,5.79823152577805e-07,Other Genes
1700012B09Rik,-4.1930366,7.680856,1.281067206371586e-06,Other Genes
1700016H13Rik,0.4685983,6.4237156,3.8120400839217555e-08,Other Genes
1700017B05Rik,14.483749,-12.049728,1.4101249407134418e-05,Other Genes
1700017N19Rik,9.668772,-24.507862,4.7888161015063204e-08,Other Genes
1700019A02Rik,-4.9508357,7.7001853,6.512474007746134e-09,Other Genes
1700019D03Rik,-19.89445,35.462906,1.0132428995181038e-06,Other Genes
1700020L24Rik,-15.835054,16.337185,1.741457389143087e-06,Other Genes
1700022A21Rik,-24.717999,-9.132933,1.671930801526137e-08,Other Genes
1700024B05Rik,41.197227,7.3248725,1.1787585996017463e-07,Other Genes
1700025C18Rik,2.3019938,19.347391,5.0143538380985944e-08,Other Genes
1700025G04Rik,-12.485229,-1.2743814,7.132418225195273e-05,Other Genes
1700028J19Rik,6.157602,21.150986,5.079645480136979e-06,Other Genes
1700028K03Rik,-12.0394745,-12.972695,4.908676509677184e-07,Other Genes
1700029F12Rik,-4.121773,-15.008589,5.626972137601509e-08,Other Genes
1700030J22Rik,6.60463,29.31591,1.0484505019247276e-06,Other Genes
1700030K09Rik,-23.686224,32.470173,2.342196679687306e-05,Other Genes
1700034J05Rik,19.776182,-34.07852,8.513808724118513e-07,Other Genes
1700037C18Rik,39.369427,27.152327,2.601590311011394e-06,Other Genes
1700048O20Rik,36.387764,-27.707838,9.020940104187022e-07,Other Genes
1700049E17Rik1,-22.423271,-16.078123,3.904498130102198e-09,Other Genes
1700049E17Rik2,-4.606821,-1.6059098,1.1644704536467592e-08,Other Genes
1700056E22Rik,-15.331523,-40.66479,3.1065691664593964e-07,Other Genes
1700066M21Rik,-15.092181,-0.9124957,1.0040512522368792e-05,Other Genes
1700067K01Rik,-12.022212,12.606476,1.1271934375708278e-06,Other Genes
1700073E17Rik,33.119083,1.8543091,5.41637310876459e-09,Other Genes
1700084J12Rik,13.11402,-25.704847,1.5871478664805153e-07,Other Genes
1700088E04Rik,17.93839,-19.070976,6.415769172753005e-06,Other Genes
1700091H14Rik,13.253017,-6.0741115,6.992521586933123e-09,Other Genes
1700093K21Rik,5.3064194,-6.496423,2.2480349195090075e-07,Other Genes
1700102P08Rik,3.534403,-6.9401484,7.650327155908034e-07,Other Genes
1700109H08Rik,-24.397898,12.722943,1.7074648010391538e-05,Other Genes
1700123K08Rik,4.809211,0.47826236,8.886341681001493e-09,Other Genes
1700123O20Rik,36.842545,-10.301854,0.0001525139105407069,Other Genes
1700128F08Rik,-5.901739,0.20449613,1.759511703014144e-06,Other Genes
1810009A15Rik,-39.289604,21.614202,0.00020510295018544362,Other Genes
