gene,umap_1,umap_2,importance,category
0610009L18Rik,-0.33620486,3.8463056,5.840014457096408e-08,Other Genes
0610030E20Rik,1.5695411,3.6314385,1.5293294729227857e-05,Other Genes
1110004F10Rik,2.4729567,3.036195,0.0005088470049354195,Other Genes
1110038F14Rik,0.0023263174,3.6234093,6.25278918355159e-05,Other Genes
1110059E24Rik,0.4563719,2.7089615,5.9771180898125744e-05,Other Genes
1110059G10Rik,1.6676155,3.8274348,6.595973508273222e-05,Other Genes
1110065P20Rik,-0.83707905,4.110896,1.0165835127081718e-05,Other Genes
1190005I06Rik,1.143693,4.2190895,7.595140063903025e-07,Other Genes
1500009L16Rik,3.037945,3.8558416,2.1839580768623818e-06,Other Genes
1500011B03Rik,-0.35055718,4.82324,3.067978831902114e-05,Other Genes
1600012H06Rik,2.6481218,5.3366833,7.084283291367909e-05,Other Genes
1600014C10Rik,0.53173095,5.428161,2.0836534632139265e-05,Other Genes
1600029O15Rik,1.2840179,2.9331155,6.41664553386306e-07,Other Genes
1700001K19Rik,2.692807,5.5341716,8.66644951215693e-07,Other Genes
1700001O22Rik,0.79240763,3.1862009,1.2623741783291256e-07,Other Genes
1700003E16Rik,0.36472997,4.096836,3.1565663883850866e-07,Other Genes
1700003F12Rik,1.918818,4.6258907,2.1249158372229606e-07,Other Genes
1700008O03Rik,1.9964474,3.11563,9.012666956599448e-07,Other Genes
1700008P02Rik,0.6984805,4.410367,1.4951857483366576e-08,Other Genes
1700010B08Rik,0.60504776,3.09884,7.649248015832248e-10,Other Genes
1700010I14Rik,0.79544693,2.5837567,5.79823152577805e-07,Other Genes
1700012B09Rik,0.5707048,1.9982262,1.281067206371586e-06,Other Genes
1700016H13Rik,0.7399725,4.3193636,3.8120400839217555e-08,Other Genes
1700017B05Rik,2.0615895,3.2396042,1.4101249407134418e-05,Other Genes
1700017N19Rik,1.9341891,3.2876794,4.7888161015063204e-08,Other Genes
1700019A02Rik,2.6707442,4.613389,6.512474007746134e-09,Other Genes
1700019D03Rik,0.22537175,3.6136653,1.0132428995181038e-06,Other Genes
1700020L24Rik,0.17524649,4.3202224,1.741457389143087e-06,Other Genes
1700022A21Rik,-0.51582545,2.9692123,1.671930801526137e-08,Other Genes
1700024B05Rik,-0.022436678,5.969619,1.1787585996017463e-07,Other Genes
1700025C18Rik,2.1964343,1.8869852,5.0143538380985944e-08,Other Genes
1700025G04Rik,0.11638883,3.8816395,7.132418225195273e-05,Other Genes
1700028J19Rik,0.069120236,2.7261953,5.079645480136979e-06,Other Genes
1700028K03Rik,0.32276568,3.97331,4.908676509677184e-07,Other Genes
1700029F12Rik,-0.28453463,4.970376,5.626972137601509e-08,Other Genes
1700030J22Rik,1.1874408,4.5608997,1.0484505019247276e-06,Other Genes
1700030K09Rik,3.1999235,4.134899,2.342196679687306e-05,Other Genes
1700034J05Rik,0.723184,5.327837,8.513808724118513e-07,Other Genes
1700037C18Rik,1.3665712,5.6494064,2.601590311011394e-06,Other Genes
1700048O20Rik,-1.0133975,4.687181,9.020940104187022e-07,Other Genes
1700049E17Rik1,1.1304383,6.0698657,3.904498130102198e-09,Other Genes
1700049E17Rik2,0.3712366,3.3749986,1.1644704536467592e-08,Other Genes
1700056E22Rik,3.2736168,4.478414,3.1065691664593964e-07,Other Genes
1700066M21Rik,0.78660053,5.27217,1.0040512522368792e-05,Other Genes
1700067K01Rik,-0.13301139,1.97002,1.1271934375708278e-06,Other Genes
1700073E17Rik,1.3875804,5.330096,5.41637310876459e-09,Other Genes
1700084J12Rik,-0.0066529396,5.4871497,1.5871478664805153e-07,Other Genes
1700088E04Rik,-0.72127235,4.766529,6.415769172753005e-06,Other Genes
1700091H14Rik,0.15742353,5.065253,6.992521586933123e-09,Other Genes
1700093K21Rik,1.4262278,1.9096165,2.2480349195090075e-07,Other Genes
1700102P08Rik,0.7252306,4.971765,7.650327155908034e-07,Other Genes
1700109H08Rik,1.2573217,6.006141,1.7074648010391538e-05,Other Genes
1700123K08Rik,0.9840589,2.9010644,8.886341681001493e-09,Other Genes
1700123O20Rik,1.1524434,4.027684,0.0001525139105407069,Other Genes
1700128F08Rik,0.38394055,4.1316385,1.759511703014144e-06,Other Genes
1810009A15Rik,0.4740344,5.329646,0.00020510295018544362,Other Genes
1810024B03Rik,3.3437057,4.8935943,2.7509885628144216e-06,Other Genes
