x,y,phenotype,dataset
12.077227,-14.977654,Diseased,26
14.970122,-12.571243,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-60.01054,0.87516123,Diseased,26
-56.031956,17.121254,Diseased,26
13.098052,-13.268764,Diseased,26
-71.83556,4.961864,Control,81
-21.829557,70.3702,Diseased,26
38.600903,67.64122,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-33.47346,45.043346,Diseased,26
-48.91434,-7.499312,Diseased,26
-70.56612,10.209793,Diseased,26
13.098052,-13.268764,Diseased,26
-7.5843425,37.746376,Diseased,26
13.098052,-13.268764,Diseased,26
36.424007,59.776314,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-7.1634984,42.80088,Diseased,26
47.373413,65.345825,Diseased,26
-40.310555,-34.010998,Diseased,26
13.098052,-13.268764,Diseased,26
-26.832973,36.65715,Diseased,26
13.098052,-13.268764,Diseased,26
-42.637985,-37.90489,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-17.436436,75.5005,Diseased,26
-18.132454,54.693798,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-80.962036,3.200749,Control,81
-6.2863145,34.711605,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-14.731724,78.913734,Control,81
13.098052,-13.268764,Diseased,26
44.853268,63.20593,Diseased,26
-7.4884844,49.474815,Diseased,26
13.098052,-13.268764,Diseased,26
-82.05602,16.115175,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-69.603134,-23.536575,Control,81
-13.3694105,50.975533,Diseased,26
-41.56076,-17.103926,Diseased,26
-78.18668,24.037842,Diseased,26
-79.79291,3.7447777,Control,81
13.098052,-13.268764,Diseased,26
45.451168,68.14165,Diseased,26
13.098052,-13.268764,Diseased,26
-59.722088,10.483457,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-25.628136,45.143772,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-44.81038,58.193436,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
3.6963131,73.37069,Diseased,26
13.098052,-13.268764,Diseased,26
8.425819,30.591831,Diseased,26
13.098052,-13.268764,Diseased,26
13.098052,-13.268764,Diseased,26
-51.000652,23.959917,Diseased,26
53.70199,38.869682,Diseased,26
