x,y,phenotype,dataset
14.271101,0.7503966,Diseased,26
13.777741,0.30281833,Diseased,26
12.490911,0.116751105,Diseased,26
12.661349,-0.48166275,Diseased,26
14.121628,-0.5085085,Diseased,26
2.9788995,16.218191,Diseased,26
3.7804525,14.173051,Diseased,26
12.529829,-0.14499743,Diseased,26
4.472376,16.706263,Control,81
-4.20248,9.769961,Diseased,26
-1.9386269,-0.39441776,Diseased,26
13.037831,-0.7188757,Diseased,26
14.376217,-1.6865112,Diseased,26
-2.3653727,12.527356,Diseased,26
1.195439,16.0561,Diseased,26
4.8299036,16.025545,Diseased,26
13.463251,-1.8933612,Diseased,26
12.639361,18.624737,Diseased,26
14.087797,-0.20817275,Diseased,26
-2.683338,0.5200537,Diseased,26
12.790925,0.86061245,Diseased,26
12.512939,-1.2072467,Diseased,26
14.848584,-0.844964,Diseased,26
-4.8638196,13.974143,Diseased,26
-0.77479976,0.11303582,Diseased,26
-1.2288803,17.156294,Diseased,26
13.453845,-2.4230292,Diseased,26
-2.8093746,13.634252,Diseased,26
12.969848,1.6920047,Diseased,26
-1.2371919,12.501109,Diseased,26
14.119833,-0.10043328,Diseased,26
13.979054,0.6067132,Diseased,26
-4.508038,8.964574,Diseased,26
-4.1916466,12.02538,Diseased,26
12.467327,-0.021006834,Diseased,26
11.968484,0.034158885,Diseased,26
4.8429537,17.584803,Control,81
12.454183,18.737526,Diseased,26
13.8246565,1.2969637,Diseased,26
14.57248,1.0489137,Diseased,26
14.925595,-1.385167,Diseased,26
12.54939,0.64719415,Diseased,26
14.013202,2.2591608,Diseased,26
14.090788,0.32368422,Diseased,26
-4.5656695,8.511976,Control,81
14.935521,1.0376418,Diseased,26
-1.4459379,0.25792953,Diseased,26
-4.788816,13.391535,Diseased,26
13.216757,-1.4874312,Diseased,26
5.9349904,16.332584,Diseased,26
13.86677,2.5106254,Diseased,26
14.353623,-0.7664312,Diseased,26
13.818358,0.06479967,Diseased,26
2.4396784,18.776915,Control,81
-4.413151,12.6697445,Diseased,26
-0.2752336,16.215921,Diseased,26
6.085554,15.667994,Diseased,26
4.8324757,17.448605,Control,81
12.990572,-0.39086464,Diseased,26
-1.1392237,-0.051677916,Diseased,26
13.22758,-1.1837178,Diseased,26
3.8547773,15.222254,Diseased,26
13.352425,1.170641,Diseased,26
13.671847,-0.23542897,Diseased,26
-3.256682,12.681252,Diseased,26
12.785433,-1.4121807,Diseased,26
11.954995,0.10420201,Diseased,26
-1.4637111,20.579302,Diseased,26
13.442465,-1.312572,Diseased,26
14.08668,0.032935344,Diseased,26
-8.224116,3.2304688,Diseased,26
14.694702,0.41606352,Diseased,26
-4.157851,15.324189,Diseased,26
12.719867,1.1227425,Diseased,26
16.021807,0.31306162,Diseased,26
3.4753175,12.198511,Diseased,26
-2.5843318,-10.010857,Diseased,26
13.586488,1.5442201,Diseased,26
13.15971,-1.2859061,Diseased,26
14.851174,0.6524309,Diseased,26
3.2664044,16.328196,Diseased,26
15.8357,0.0050707967,Diseased,26
12.583999,-2.2806294,Diseased,26
13.304199,0.0014113957,Diseased,26
13.927996,0.69746023,Diseased,26
14.675185,-0.3542281,Diseased,26
12.690481,0.14448856,Diseased,26
14.201835,-0.6021976,Diseased,26
13.331854,1.4322302,Diseased,26
-4.575471,8.441029,Control,81
13.7220955,0.9219131,Diseased,26
13.118384,0.4470471,Diseased,26
0.1361672,16.341253,Diseased,26
15.876137,0.41642806,Diseased,26
13.43969,-0.6090484,Diseased,26
-1.3256705,18.644005,Diseased,26
14.781998,-0.32429206,Diseased,26
13.167069,-1.0169013,Diseased,26
14.625508,-0.2247705,Diseased,26
2.9386775,13.68532,Diseased,26
13.373877,-0.3616086,Diseased,26
0.75484055,19.589432,Diseased,26
-4.563844,8.561518,Control,81
15.60404,0.6353763,Diseased,26
1.6569722,18.25737,Control,81
15.229473,0.87692666,Diseased,26
12.973144,1.0635082,Diseased,26
14.396204,-0.705055,Diseased,26
14.498101,-0.6522647,Diseased,26
12.794297,-1.4090507,Diseased,26
16.080862,-0.13458735,Diseased,26
-2.982886,14.107251,Diseased,26
14.215843,-1.5018822,Diseased,26
14.359852,1.7836181,Diseased,26
11.964578,-1.745316,Diseased,26
-0.37929443,18.166187,Diseased,26
3.2558768,10.280445,Diseased,20
13.861037,0.3832654,Diseased,26
4.6302066,14.628904,Diseased,26
-2.1877015,13.098813,Diseased,26
1.2280624,17.971169,Diseased,26
14.670894,-0.115094684,Diseased,26
14.984125,-1.2344803,Diseased,26
15.046622,1.0977664,Diseased,26
14.312141,0.23727536,Diseased,26
15.077179,0.73765767,Diseased,26
-1.5098249,0.42776984,Diseased,26
-1.1207294,15.776408,Control,81
14.838659,-0.18565269,Diseased,26
-3.97072,14.184348,Diseased,26
-2.4136226,10.863592,Diseased,26
14.017277,-1.6120787,Diseased,26
3.4761138,18.835245,Control,81
11.955424,-1.7518435,Diseased,26
12.546908,0.6462784,Diseased,26
2.5158703,16.020712,Diseased,26
5.8366785,16.551859,Control,81
3.940858,9.797618,Diseased,26
14.147577,-0.56146073,Diseased,26
12.697354,1.9222921,Diseased,26
14.239907,0.2797523,Diseased,26
-0.2538106,19.290506,Diseased,26
13.264456,0.42178142,Diseased,26
13.085367,-1.9259983,Diseased,26
14.081808,1.7777491,Diseased,26
-4.941176,2.1946023,Diseased,26
-2.693029,14.023441,Diseased,26
2.8342295,16.669634,Diseased,26
-1.08922,-0.46774966,Diseased,26
12.606012,0.1924578,Diseased,26
13.7864895,-0.26334321,Diseased,26
14.387048,0.12412702,Diseased,26
13.112436,-0.9822781,Diseased,26
2.1556666,16.117516,Diseased,26
-4.93392,7.7062683,Diseased,26
1.9842379,17.474424,Diseased,26
14.031147,1.9145193,Diseased,26
13.173822,-0.8934457,Diseased,26
4.450772,13.663822,Diseased,26
12.913204,1.6821725,Diseased,26
14.25452,-2.0405703,Diseased,26
13.598917,0.50777376,Diseased,26
-1.1757711,15.725172,Control,81
-1.8931313,14.826234,Diseased,26
15.406829,-1.1473407,Diseased,26
-0.6685322,16.393234,Diseased,26
-4.090457,1.8501958,Diseased,26
14.46026,-2.617416,Diseased,26
14.144697,-0.016331432,Diseased,26
15.419646,1.1386435,Diseased,26
3.0887208,11.038379,Diseased,26
15.07916,1.3216716,Diseased,26
12.924608,1.4636574,Diseased,26
12.518204,-0.909175,Diseased,26
12.946018,1.6224316,Diseased,26
14.742752,-2.2823043,Diseased,26
14.325717,-1.5452477,Diseased,26
15.992958,0.53873485,Diseased,26
5.598953,17.160173,Diseased,26
13.733152,1.3174071,Diseased,26
2.6901522,15.487992,Diseased,26
-3.3037152,14.279452,Diseased,26
13.402149,0.735989,Diseased,26
-5.1347017,6.2873077,Control,81
-4.3973103,1.8258007,Diseased,26
-0.062487897,15.4576235,Diseased,26
-0.7197662,16.06298,Diseased,26
1.9743228,14.725079,Diseased,26
14.416262,1.134773,Diseased,26
13.217443,1.1633965,Diseased,26
12.01454,0.6054951,Diseased,26
-1.7651651,11.632427,Diseased,26
13.398295,2.542518,Diseased,26
-4.856619,14.00359,Diseased,26
13.552479,0.37892663,Diseased,26
14.533077,-1.0386479,Diseased,26
-0.69518536,17.61593,Diseased,26
13.500146,2.0803614,Diseased,26
-1.4726406,18.964188,Diseased,26
14.523468,0.9731794,Diseased,26
14.263081,-1.2084205,Diseased,26
13.302254,-0.09935716,Diseased,26
13.669785,1.346686,Diseased,26
13.99741,-0.6612554,Diseased,26
14.960245,-0.1353921,Diseased,26
14.245513,0.8403037,Diseased,26
13.667458,-1.0255141,Diseased,26
-7.091483,10.810854,Diseased,26
0.33305117,19.001125,Diseased,26
3.0224323,14.25811,Diseased,26
13.42836,0.75797164,Diseased,26
-0.07596122,18.453123,Diseased,26
13.639689,-0.45358592,Diseased,26
-5.580122,2.1679978,Diseased,26
2.21964,14.942053,Diseased,26
1.1653711,15.437777,Control,81
3.3335924,8.187694,Diseased,48
12.6837635,-0.8175343,Diseased,26
-6.005691,1.8653626,Diseased,26
13.104329,0.56833833,Diseased,26
12.763351,-1.6282742,Diseased,26
14.993446,-0.41718468,Diseased,26
12.606027,0.06636516,Diseased,26
15.374565,1.1795825,Diseased,26
14.117994,-0.91110134,Diseased,26
-6.222099,2.7555213,Diseased,26
-1.8199891,-0.3555286,Diseased,26
-4.9169583,12.24846,Diseased,26
-1.2456445,18.474766,Diseased,26
-0.40212148,-0.16587538,Diseased,26
-3.955795,1.8155141,Diseased,26
-4.6854205,19.283884,Diseased,26
15.275297,-0.1559547,Diseased,26
1.5703242,17.568384,Diseased,26
-0.6712238,19.05595,Diseased,26
12.673656,-2.2283258,Diseased,26
14.435402,1.3620067,Diseased,26
13.923313,-0.52970713,Diseased,26
15.200545,-0.762728,Diseased,26
-1.8238858,21.135326,Diseased,26
-8.209458,3.2455094,Diseased,26
13.637573,-0.7550887,Diseased,26
11.575593,0.0068707834,Diseased,26
15.636064,1.074552,Diseased,26
5.2860913,14.523126,Diseased,26
14.301707,-1.8498961,Diseased,26
14.097323,-1.2035751,Diseased,26
1.0264646,15.837651,Control,81
13.568596,0.24680632,Diseased,26
14.000139,0.537085,Diseased,26
-2.3545256,0.023953484,Diseased,26
3.292977,8.179439,Diseased,26
13.319228,1.0967256,Diseased,26
15.760926,1.0230113,Diseased,26
-4.5686574,14.128142,Diseased,26
16.312576,0.633075,Diseased,26
13.484543,0.051303584,Diseased,26
13.414353,-2.5043273,Diseased,26
-2.5580106,14.590655,Diseased,26
13.974224,0.43811846,Diseased,26
13.508162,2.015245,Diseased,26
13.8212185,-1.2522815,Diseased,26
-3.2527359,12.668785,Diseased,26
13.200602,1.8634614,Diseased,26
4.617899,14.671882,Diseased,26
14.04892,-0.6540183,Diseased,26
13.637239,1.0445507,Diseased,26
15.080789,-0.052530356,Diseased,26
-1.3034341,11.937363,Diseased,26
5.2583747,16.280499,Diseased,26
12.386006,-0.44800934,Diseased,26
14.2239,-0.08417345,Diseased,26
2.568138,15.14974,Diseased,26
15.989282,-0.2718141,Diseased,26
-4.237155,13.72729,Diseased,26
14.498753,-0.72451293,Diseased,26
13.453768,-1.7998983,Diseased,26
15.037966,-1.9809821,Diseased,26
13.394856,-0.66017103,Diseased,26
-1.3222212,14.835434,Diseased,26
13.877244,-0.8820953,Diseased,26
