gene,pca_1,pca_2,importance,category
0610009L18Rik,1.2185658,1.5015181,5.840014457096408e-08,Other Genes
0610030E20Rik,0.4479192,0.55686975,1.5293294729227857e-05,Other Genes
1110004F10Rik,-0.9888139,-1.907882,0.0005088470049354195,Other Genes
1110038F14Rik,-0.28659657,1.1059239,6.25278918355159e-05,Other Genes
1110059E24Rik,-1.2192252,-1.4697325,5.9771180898125744e-05,Other Genes
1110059G10Rik,0.05318807,0.14989866,6.595973508273222e-05,Other Genes
1110065P20Rik,0.037469625,-1.1212056,1.0165835127081718e-05,Other Genes
1190005I06Rik,0.17807806,2.3901372,7.595140063903025e-07,Other Genes
1500009L16Rik,-0.7099644,-2.6621866,2.1839580768623818e-06,Other Genes
1500011B03Rik,-0.04676956,-0.82398534,3.067978831902114e-05,Other Genes
1600012H06Rik,0.48214862,0.02470856,7.084283291367909e-05,Other Genes
1600014C10Rik,-0.56403387,1.7662774,2.0836534632139265e-05,Other Genes
1600029O15Rik,-2.3125186,0.25843894,6.41664553386306e-07,Other Genes
1700001K19Rik,-1.111248,-0.083236374,8.66644951215693e-07,Other Genes
1700001O22Rik,-2.2848155,-0.97020113,1.2623741783291256e-07,Other Genes
1700003E16Rik,-0.6124885,1.1072409,3.1565663883850866e-07,Other Genes
1700003F12Rik,-0.11812873,-0.011403062,2.1249158372229606e-07,Other Genes
1700008O03Rik,0.32435107,1.5026504,9.012666956599448e-07,Other Genes
1700008P02Rik,-1.086866,-1.6007183,1.4951857483366576e-08,Other Genes
1700010B08Rik,0.42618054,1.4438131,7.649248015832248e-10,Other Genes
1700010I14Rik,0.7029575,0.22313191,5.79823152577805e-07,Other Genes
1700012B09Rik,-0.089462936,-0.23381765,1.281067206371586e-06,Other Genes
1700016H13Rik,3.0361574,0.1602801,3.8120400839217555e-08,Other Genes
1700017B05Rik,-1.7576532,0.5389163,1.4101249407134418e-05,Other Genes
1700017N19Rik,1.3172016,0.341259,4.7888161015063204e-08,Other Genes
1700019A02Rik,-0.4608064,-0.60086954,6.512474007746134e-09,Other Genes
1700019D03Rik,0.20878144,0.24381562,1.0132428995181038e-06,Other Genes
1700020L24Rik,-0.25938368,-1.3525548,1.741457389143087e-06,Other Genes
1700022A21Rik,-0.46249062,0.3341994,1.671930801526137e-08,Other Genes
1700024B05Rik,-0.7001592,0.7785708,1.1787585996017463e-07,Other Genes
1700025C18Rik,0.28254473,-1.0058503,5.0143538380985944e-08,Other Genes
1700025G04Rik,0.2482302,0.3944515,7.132418225195273e-05,Other Genes
1700028J19Rik,1.6456406,0.12610295,5.079645480136979e-06,Other Genes
1700028K03Rik,1.3724463,2.105112,4.908676509677184e-07,Other Genes
1700029F12Rik,-0.7313841,3.230492,5.626972137601509e-08,Other Genes
1700030J22Rik,-0.85251766,0.33948562,1.0484505019247276e-06,Other Genes
1700030K09Rik,0.13028423,-0.04094927,2.342196679687306e-05,Other Genes
1700034J05Rik,0.16664009,2.7059813,8.513808724118513e-07,Other Genes
1700037C18Rik,0.45836502,-0.10095311,2.601590311011394e-06,Other Genes
1700048O20Rik,0.34811163,2.045833,9.020940104187022e-07,Other Genes
1700049E17Rik1,0.6657242,0.7343697,3.904498130102198e-09,Other Genes
1700049E17Rik2,-0.49403834,0.035168342,1.1644704536467592e-08,Other Genes
1700056E22Rik,2.8892665,0.009883813,3.1065691664593964e-07,Other Genes
1700066M21Rik,-0.16353475,0.6385628,1.0040512522368792e-05,Other Genes
1700067K01Rik,-2.1301267,-0.7966765,1.1271934375708278e-06,Other Genes
1700073E17Rik,1.5574754,0.5444971,5.41637310876459e-09,Other Genes
1700084J12Rik,0.651371,-0.5438493,1.5871478664805153e-07,Other Genes
1700088E04Rik,0.9691927,0.4666332,6.415769172753005e-06,Other Genes
1700091H14Rik,1.0024306,0.61882645,6.992521586933123e-09,Other Genes
1700093K21Rik,-0.65631115,1.7321622,2.2480349195090075e-07,Other Genes
1700102P08Rik,0.83433694,-1.092761,7.650327155908034e-07,Other Genes
1700109H08Rik,-1.4986053,-1.0992444,1.7074648010391538e-05,Other Genes
1700123K08Rik,-0.31414467,0.14208393,8.886341681001493e-09,Other Genes
1700123O20Rik,1.4395814,-0.60677016,0.0001525139105407069,Other Genes
1700128F08Rik,2.231265,-0.2606801,1.759511703014144e-06,Other Genes
1810009A15Rik,0.8846809,0.58687985,0.00020510295018544362,Other Genes
1810024B03Rik,-2.656052,1.7029452,2.7509885628144216e-06,Other Genes
1810030O07Rik,1.3659719,-1.0529013,0.00011200680713985125,Other Genes
1810055G02Rik,0.8242215,0.20430863,0.00014053534428449768,Other Genes
1810062G17Rik,-0.15843378,-0.14708282,3.1779255868968948e-06,Other Genes
2010106E10Rik,0.7751403,-1.2963922,4.290103236924916e-09,Other Genes
2010109A12Rik,-0.266944,0.14051582,1.3533824001810558e-06,Other Genes
2010315B03Rik,0.86814296,-1.4154015,7.576382268035906e-06,Other Genes
2200002D01Rik,1.3163121,0.7725171,3.0972578538805406e-06,Other Genes
2200002J24Rik,-0.35819116,2.6137912,1.1767960535383449e-07,Other Genes
2210016L21Rik,-0.5501008,1.3953093,2.307276421812062e-05,Other Genes
2210408I21Rik,1.7998643,1.6225653,8.26211905880918e-06,Other Genes
