gene,tsne_1,tsne_2,importance,category
0610009L18Rik,-5.0697165,-5.255563,5.840014457096408e-08,Other Genes
0610030E20Rik,-34.134857,-4.1018796,1.5293294729227857e-05,Other Genes
1110004F10Rik,13.792803,26.901531,0.0005088470049354195,Other Genes
1110038F14Rik,18.854515,-3.8055685,6.25278918355159e-05,Other Genes
1110059E24Rik,5.293626,-1.5536959,5.9771180898125744e-05,Other Genes
1110059G10Rik,11.442247,-14.276721,6.595973508273222e-05,Other Genes
1110065P20Rik,-3.8324635,-30.650377,1.0165835127081718e-05,Other Genes
1190005I06Rik,31.69903,0.7926377,7.595140063903025e-07,Other Genes
1500009L16Rik,25.649136,34.989437,2.1839580768623818e-06,Other Genes
1500011B03Rik,-4.352944,-6.2647476,3.067978831902114e-05,Other Genes
1600012H06Rik,16.927387,0.84129477,7.084283291367909e-05,Other Genes
1600014C10Rik,-24.093803,19.23205,2.0836534632139265e-05,Other Genes
1600029O15Rik,17.978373,-1.2757173,6.41664553386306e-07,Other Genes
1700001K19Rik,-12.999998,-11.890189,8.66644951215693e-07,Other Genes
1700001O22Rik,-7.251015,-3.2067697,1.2623741783291256e-07,Other Genes
1700003E16Rik,11.852071,3.8043225,3.1565663883850866e-07,Other Genes
1700003F12Rik,30.05313,-21.95483,2.1249158372229606e-07,Other Genes
1700008O03Rik,6.2065253,10.623946,9.012666956599448e-07,Other Genes
1700008P02Rik,1.0220085,32.698784,1.4951857483366576e-08,Other Genes
1700010B08Rik,-10.779516,-22.047768,7.649248015832248e-10,Other Genes
1700010I14Rik,9.459471,35.02523,5.79823152577805e-07,Other Genes
1700012B09Rik,-49.496357,-11.577392,1.281067206371586e-06,Other Genes
1700016H13Rik,-9.39623,20.113148,3.8120400839217555e-08,Other Genes
1700017B05Rik,28.30874,-0.22373569,1.4101249407134418e-05,Other Genes
1700017N19Rik,-16.81155,-13.514529,4.7888161015063204e-08,Other Genes
1700019A02Rik,-13.289164,-1.6962166,6.512474007746134e-09,Other Genes
1700019D03Rik,-10.778147,-9.078597,1.0132428995181038e-06,Other Genes
1700020L24Rik,32.277298,21.797829,1.741457389143087e-06,Other Genes
1700022A21Rik,9.18177,-28.419853,1.671930801526137e-08,Other Genes
1700024B05Rik,14.60228,25.711803,1.1787585996017463e-07,Other Genes
1700025C18Rik,40.207447,-5.4819846,5.0143538380985944e-08,Other Genes
1700025G04Rik,14.243836,-34.87594,7.132418225195273e-05,Other Genes
1700028J19Rik,24.179873,38.66283,5.079645480136979e-06,Other Genes
1700028K03Rik,38.2345,2.7682886,4.908676509677184e-07,Other Genes
1700029F12Rik,-6.7116323,43.44754,5.626972137601509e-08,Other Genes
1700030J22Rik,-33.794,-2.717018,1.0484505019247276e-06,Other Genes
1700030K09Rik,17.417572,7.853843,2.342196679687306e-05,Other Genes
1700034J05Rik,-24.271317,-1.8141512,8.513808724118513e-07,Other Genes
1700037C18Rik,-6.573645,22.260063,2.601590311011394e-06,Other Genes
1700048O20Rik,-6.1526604,-0.75926304,9.020940104187022e-07,Other Genes
1700049E17Rik1,-21.64061,12.687985,3.904498130102198e-09,Other Genes
1700049E17Rik2,-31.570473,-0.3050201,1.1644704536467592e-08,Other Genes
1700056E22Rik,-13.133168,15.389289,3.1065691664593964e-07,Other Genes
1700066M21Rik,1.8369409,1.9411142,1.0040512522368792e-05,Other Genes
1700067K01Rik,22.422153,-8.253298,1.1271934375708278e-06,Other Genes
1700073E17Rik,29.578127,24.169945,5.41637310876459e-09,Other Genes
1700084J12Rik,12.795629,-9.579775,1.5871478664805153e-07,Other Genes
1700088E04Rik,-6.355107,28.96517,6.415769172753005e-06,Other Genes
1700091H14Rik,-2.848213,-13.164248,6.992521586933123e-09,Other Genes
1700093K21Rik,-27.101366,-8.292879,2.2480349195090075e-07,Other Genes
1700102P08Rik,-5.910634,-10.298536,7.650327155908034e-07,Other Genes
1700109H08Rik,-3.2058296,1.9610835,1.7074648010391538e-05,Other Genes
1700123K08Rik,-27.040144,4.875753,8.886341681001493e-09,Other Genes
1700123O20Rik,-40.97364,9.989546,0.0001525139105407069,Other Genes
1700128F08Rik,1.782002,22.797466,1.759511703014144e-06,Other Genes
1810009A15Rik,20.807924,-17.833519,0.00020510295018544362,Other Genes
1810024B03Rik,5.81115,23.614004,2.7509885628144216e-06,Other Genes
1810030O07Rik,16.810127,26.589808,0.00011200680713985125,Other Genes
1810055G02Rik,18.138084,-9.345248,0.00014053534428449768,Other Genes
1810062G17Rik,31.314812,-9.306588,3.1779255868968948e-06,Other Genes
2010106E10Rik,-1.5466094,5.5355425,4.290103236924916e-09,Other Genes
2010109A12Rik,38.35212,4.377299,1.3533824001810558e-06,Other Genes
2010315B03Rik,-15.163142,-14.261168,7.576382268035906e-06,Other Genes
2200002D01Rik,33.29621,-18.07124,3.0972578538805406e-06,Other Genes
2200002J24Rik,-21.696604,24.199343,1.1767960535383449e-07,Other Genes
2210016L21Rik,4.9046926,28.803806,2.307276421812062e-05,Other Genes
2210408I21Rik,1.097187,-22.189806,8.26211905880918e-06,Other Genes
2300009A05Rik,47.0459,-13.403833,8.605390721611618e-06,Other Genes
2310003L06Rik,40.967953,14.71343,3.914487336869519e-08,Other Genes
2310009B15Rik,-33.536114,-22.838896,2.5438331280327148e-05,Other Genes
2310011J03Rik,2.6510723,48.76974,4.343455001849086e-05,Other Genes
2310022A10Rik,9.461614,-18.569206,5.411915716860214e-05,Other Genes
2310022B05Rik,1.0298452,13.650156,4.3340068791069e-05,Other Genes
2310030G06Rik,-21.933853,17.324078,1.0610026893243581e-06,Other Genes
2310033P09Rik,7.817462,-6.874239,3.2552914103977925e-05,Other Genes
2310057J18Rik,-19.969973,-34.084583,2.632337141423182e-08,Other Genes
2310057M21Rik,-30.215015,-2.4798396,4.4967249223887714e-05,Other Genes
2310061I04Rik,-1.1309505,-46.58856,2.4945778031804204e-05,Other Genes
2410002F23Rik,10.343423,-18.420986,7.208809545433204e-05,Other Genes
2410004B18Rik,-15.054872,21.39875,2.0332840870073117e-05,Other Genes
2510002D24Rik,0.19169843,-5.3051553,2.196943665214428e-05,Other Genes
2510009E07Rik,-19.715645,0.17830694,6.20704204348518e-05,Other Genes
2510039O18Rik,-13.624462,-19.112503,4.857297099873872e-05,Other Genes
2610005L07Rik,-47.084507,6.333246,0.00015310959790334016,Other Genes
2610008E11Rik,-27.15826,24.860983,1.0409553712496594e-05,Other Genes
2610021A01Rik,21.498926,27.821114,2.3939546115073274e-05,Other Genes
