gene,umap_1,umap_2,importance,category
0610009L18Rik,5.0269403,3.6023035,5.840014457096408e-08,Other Genes
0610030E20Rik,5.392589,5.376425,1.5293294729227857e-05,Other Genes
1110004F10Rik,5.5582604,5.506625,0.0005088470049354195,Other Genes
1110038F14Rik,4.6170845,3.4425044,6.25278918355159e-05,Other Genes
1110059E24Rik,2.8232505,3.7053523,5.9771180898125744e-05,Other Genes
1110059G10Rik,5.1265955,4.2060738,6.595973508273222e-05,Other Genes
1110065P20Rik,3.8092477,3.227284,1.0165835127081718e-05,Other Genes
1190005I06Rik,2.9501534,3.882953,7.595140063903025e-07,Other Genes
1500009L16Rik,3.938503,4.9088473,2.1839580768623818e-06,Other Genes
1500011B03Rik,4.2556453,3.7170718,3.067978831902114e-05,Other Genes
1600012H06Rik,5.658497,2.945325,7.084283291367909e-05,Other Genes
1600014C10Rik,4.379642,6.2307014,2.0836534632139265e-05,Other Genes
1600029O15Rik,5.567202,4.2469993,6.41664553386306e-07,Other Genes
1700001K19Rik,2.9125152,3.7217367,8.66644951215693e-07,Other Genes
1700001O22Rik,2.9448726,3.3605046,1.2623741783291256e-07,Other Genes
1700003E16Rik,2.7132742,2.697182,3.1565663883850866e-07,Other Genes
1700003F12Rik,5.579033,5.6740794,2.1249158372229606e-07,Other Genes
1700008O03Rik,5.2603216,3.5423892,9.012666956599448e-07,Other Genes
1700008P02Rik,3.718538,1.3784161,1.4951857483366576e-08,Other Genes
1700010B08Rik,4.055934,3.8662126,7.649248015832248e-10,Other Genes
1700010I14Rik,3.7731545,3.9298565,5.79823152577805e-07,Other Genes
1700012B09Rik,5.1371555,4.1893845,1.281067206371586e-06,Other Genes
1700016H13Rik,3.300876,3.1156085,3.8120400839217555e-08,Other Genes
1700017B05Rik,5.671369,4.6661854,1.4101249407134418e-05,Other Genes
1700017N19Rik,3.2536821,4.373877,4.7888161015063204e-08,Other Genes
1700019A02Rik,4.6666985,4.0412564,6.512474007746134e-09,Other Genes
1700019D03Rik,2.9226775,1.7571537,1.0132428995181038e-06,Other Genes
1700020L24Rik,5.033517,2.596548,1.741457389143087e-06,Other Genes
1700022A21Rik,4.6665244,3.768529,1.671930801526137e-08,Other Genes
1700024B05Rik,2.018106,4.0743,1.1787585996017463e-07,Other Genes
1700025C18Rik,3.6986184,3.0770042,5.0143538380985944e-08,Other Genes
1700025G04Rik,3.4444208,5.2400537,7.132418225195273e-05,Other Genes
1700028J19Rik,3.3461607,2.47068,5.079645480136979e-06,Other Genes
1700028K03Rik,4.7791033,3.1676116,4.908676509677184e-07,Other Genes
1700029F12Rik,6.4049516,4.4378934,5.626972137601509e-08,Other Genes
1700030J22Rik,4.3021507,4.7614307,1.0484505019247276e-06,Other Genes
1700030K09Rik,6.24808,4.151834,2.342196679687306e-05,Other Genes
1700034J05Rik,4.8048573,3.0449457,8.513808724118513e-07,Other Genes
1700037C18Rik,4.2284284,5.266962,2.601590311011394e-06,Other Genes
1700048O20Rik,4.76963,2.333618,9.020940104187022e-07,Other Genes
1700049E17Rik1,2.4539149,2.6377645,3.904498130102198e-09,Other Genes
1700049E17Rik2,2.3118927,5.4420686,1.1644704536467592e-08,Other Genes
1700056E22Rik,4.6292377,2.820672,3.1065691664593964e-07,Other Genes
1700066M21Rik,3.2518718,3.7766147,1.0040512522368792e-05,Other Genes
1700067K01Rik,3.882437,2.6519852,1.1271934375708278e-06,Other Genes
1700073E17Rik,3.9089918,4.7999253,5.41637310876459e-09,Other Genes
1700084J12Rik,3.1019208,5.7467966,1.5871478664805153e-07,Other Genes
1700088E04Rik,2.4872944,4.4912534,6.415769172753005e-06,Other Genes
1700091H14Rik,5.086764,1.9451586,6.992521586933123e-09,Other Genes
1700093K21Rik,2.9276133,2.9643774,2.2480349195090075e-07,Other Genes
1700102P08Rik,2.658434,5.007171,7.650327155908034e-07,Other Genes
1700109H08Rik,2.6414676,4.1157885,1.7074648010391538e-05,Other Genes
1700123K08Rik,3.5294847,6.138692,8.886341681001493e-09,Other Genes
1700123O20Rik,4.284046,3.7035272,0.0001525139105407069,Other Genes
1700128F08Rik,4.6594615,6.0818534,1.759511703014144e-06,Other Genes
1810009A15Rik,3.234865,3.8174036,0.00020510295018544362,Other Genes
1810024B03Rik,3.9374635,3.9929526,2.7509885628144216e-06,Other Genes
1810030O07Rik,6.23763,3.3121645,0.00011200680713985125,Other Genes
1810055G02Rik,3.4981873,3.2322435,0.00014053534428449768,Other Genes
1810062G17Rik,2.4737735,3.3545578,3.1779255868968948e-06,Other Genes
2010106E10Rik,5.302744,3.7402353,4.290103236924916e-09,Other Genes
2010109A12Rik,2.9205613,3.9824207,1.3533824001810558e-06,Other Genes
2010315B03Rik,5.0819573,2.2609,7.576382268035906e-06,Other Genes
2200002D01Rik,4.568598,1.8421425,3.0972578538805406e-06,Other Genes
2200002J24Rik,4.5628915,5.0513687,1.1767960535383449e-07,Other Genes
2210016L21Rik,4.619619,2.4556682,2.307276421812062e-05,Other Genes
2210408I21Rik,4.1409726,2.2900107,8.26211905880918e-06,Other Genes
2300009A05Rik,4.2823524,2.7272136,8.605390721611618e-06,Other Genes
2310003L06Rik,5.873787,3.707521,3.914487336869519e-08,Other Genes
2310009B15Rik,5.9607735,2.4859152,2.5438331280327148e-05,Other Genes
2310011J03Rik,5.74817,4.4299607,4.343455001849086e-05,Other Genes
2310022A10Rik,5.096881,3.4515145,5.411915716860214e-05,Other Genes
2310022B05Rik,5.1705074,2.1108267,4.3340068791069e-05,Other Genes
2310030G06Rik,5.1811066,2.4164848,1.0610026893243581e-06,Other Genes
2310033P09Rik,2.7823195,4.1720343,3.2552914103977925e-05,Other Genes
2310057J18Rik,2.516035,5.2607894,2.632337141423182e-08,Other Genes
2310057M21Rik,2.5632792,4.032192,4.4967249223887714e-05,Other Genes
2310061I04Rik,3.9988031,3.2496128,2.4945778031804204e-05,Other Genes
2410002F23Rik,3.8497715,3.9108293,7.208809545433204e-05,Other Genes
2410004B18Rik,4.7260995,2.2749672,2.0332840870073117e-05,Other Genes
2510002D24Rik,5.983411,5.445179,2.196943665214428e-05,Other Genes
2510009E07Rik,4.20654,2.039671,6.20704204348518e-05,Other Genes
2510039O18Rik,6.009747,4.0994816,4.857297099873872e-05,Other Genes
2610005L07Rik,4.1437006,1.9335331,0.00015310959790334016,Other Genes
2610008E11Rik,6.2581997,3.9059498,1.0409553712496594e-05,Other Genes
2610021A01Rik,4.7240896,4.2504773,2.3939546115073274e-05,Other Genes
2610028H24Rik,2.2018273,4.3863726,3.672343884733707e-07,Other Genes
2610042L04Rik,4.3481765,3.9925432,7.405982152659743e-09,Other Genes
2610318N02Rik,3.8793771,2.038611,3.6698307254189234e-05,Other Genes
2700049A03Rik,5.5938463,2.5875585,4.1827662585712294e-05,Other Genes
2700062C07Rik,2.954121,2.8614726,2.4834772402474747e-05,Other Genes
2700097O09Rik,3.4323523,4.91529,7.286692981383079e-05,Other Genes
2810021J22Rik,6.4073186,4.056509,8.369881781174544e-06,Other Genes
2810025M15Rik,5.983103,2.8285298,6.180096709095208e-05,Other Genes
2810408A11Rik,3.5774035,4.4315224,4.272962159960087e-07,Other Genes
2810459M11Rik,3.920344,2.1429982,6.617699967478671e-08,Other Genes
2900026A02Rik,3.3645155,4.4396567,7.874947576415457e-06,Other Genes
3000002C10Rik,2.9545515,5.6224546,2.593592455436058e-05,Other Genes
3110009E18Rik,4.3274636,4.870799,5.523924501291906e-06,Other Genes
3110040N11Rik,4.183749,2.4942288,2.881600884272812e-05,Other Genes
3110053B16Rik,4.7332926,2.738837,1.3574797347909825e-06,Other Genes
3110070M22Rik,2.83093,3.1143298,6.851239295872174e-07,Other Genes
3300002I08Rik,4.761436,4.1796875,1.7206544903652035e-06,Other Genes
3425401B19Rik,2.820734,3.0193884,1.525877628457138e-07,Other Genes
3830403N18Rik,3.9284182,2.766374,7.487259940587937e-05,Other Genes
3830408C21Rik,3.8698618,2.3027332,1.4616285923707108e-06,Other Genes
